epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4928.7,1.34524,1.35336,1.30405,0.69074,0.52043,0.60573,0.39258,1.32033,1.12806,1.19901,0.000492625,0.000492625,0.000492625
43,5041.6,1.3467,1.34869,1.30317,0.67522,0.54625,0.61032,0.39521,1.30574,1.12854,1.19828,0.00048025,0.00048025,0.00048025
44,5154.46,1.33726,1.34051,1.30257,0.66834,0.53842,0.6065,0.39409,1.30609,1.12533,1.19498,0.000467875,0.000467875,0.000467875
45,5266.96,1.33953,1.33792,1.30497,0.68547,0.53947,0.60634,0.39558,1.28654,1.12281,1.18957,0.0004555,0.0004555,0.0004555
46,5379.53,1.33693,1.32947,1.29386,0.68895,0.54423,0.60547,0.39349,1.30449,1.12553,1.20182,0.000443125,0.000443125,0.000443125
47,5493.11,1.32107,1.31143,1.28765,0.68498,0.54725,0.61436,0.39679,1.30723,1.12009,1.19811,0.00043075,0.00043075,0.00043075
48,5605.6,1.32829,1.32214,1.29173,0.68587,0.54847,0.61312,0.40193,1.29562,1.11523,1.18929,0.000418375,0.000418375,0.000418375
49,5718.41,1.31955,1.30786,1.28287,0.67437,0.55065,0.61336,0.39775,1.29655,1.11478,1.19059,0.000406,0.000406,0.000406
50,5831.14,1.32327,1.31343,1.29132,0.70553,0.53514,0.61688,0.39744,1.30651,1.11048,1.19328,0.000393625,0.000393625,0.000393625
51,5943.73,1.3143,1.29203,1.28443,0.68121,0.5492,0.61601,0.39846,1.29837,1.10044,1.19191,0.00038125,0.00038125,0.00038125
52,6056.29,1.32428,1.30346,1.28889,0.67126,0.55425,0.61261,0.39604,1.30266,1.10415,1.19484,0.000368875,0.000368875,0.000368875
53,6169.7,1.3026,1.2823,1.2771,0.69047,0.5533,0.61599,0.40276,1.28521,1.10202,1.18888,0.0003565,0.0003565,0.0003565
54,6282.45,1.31517,1.28263,1.28149,0.70057,0.54764,0.61979,0.40541,1.27838,1.08884,1.18113,0.000344125,0.000344125,0.000344125
55,6394.82,1.3091,1.27506,1.27992,0.68672,0.54619,0.61423,0.40117,1.29357,1.08859,1.18743,0.00033175,0.00033175,0.00033175
56,6507.09,1.29683,1.26528,1.27163,0.71423,0.52773,0.61713,0.40109,1.30047,1.08712,1.19059,0.000319375,0.000319375,0.000319375
57,6619.49,1.30167,1.27237,1.2753,0.69475,0.53669,0.61866,0.40295,1.28987,1.09444,1.18723,0.000307,0.000307,0.000307
58,6732.11,1.2947,1.25659,1.26694,0.69748,0.53715,0.61578,0.39945,1.2879,1.0926,1.18645,0.000294625,0.000294625,0.000294625
59,6844.53,1.29704,1.25568,1.26866,0.69751,0.53508,0.61734,0.40184,1.29089,1.09268,1.18496,0.00028225,0.00028225,0.00028225
60,6956.88,1.28723,1.24361,1.26394,0.72472,0.53622,0.62105,0.40377,1.29098,1.08567,1.18616,0.000269875,0.000269875,0.000269875
61,7069.39,1.28126,1.23526,1.25897,0.684,0.55267,0.62161,0.40387,1.2878,1.08029,1.18336,0.0002575,0.0002575,0.0002575
62,7181.96,1.28475,1.24438,1.26319,0.72276,0.54379,0.62393,0.40529,1.28454,1.0841,1.18175,0.000245125,0.000245125,0.000245125
63,7294.25,1.28261,1.22757,1.25995,0.73324,0.53699,0.62439,0.40606,1.291,1.0899,1.18533,0.00023275,0.00023275,0.00023275
64,7406.53,1.28534,1.23614,1.25974,0.71512,0.54468,0.62381,0.40716,1.28719,1.08769,1.18115,0.000220375,0.000220375,0.000220375
65,7519.13,1.27975,1.22833,1.25598,0.73621,0.54398,0.62453,0.40789,1.28514,1.07768,1.18108,0.000208,0.000208,0.000208
66,7631.4,1.27673,1.21494,1.25398,0.70395,0.56326,0.6266,0.40904,1.28221,1.07789,1.1802,0.000195625,0.000195625,0.000195625
67,7743.86,1.27603,1.21896,1.25329,0.72642,0.55285,0.62851,0.41113,1.28076,1.07347,1.17819,0.00018325,0.00018325,0.00018325
68,7856.57,1.27058,1.21772,1.25385,0.73514,0.54236,0.62951,0.41193,1.28159,1.06833,1.17816,0.000170875,0.000170875,0.000170875
69,7969.14,1.26717,1.20323,1.25087,0.72745,0.54825,0.6294,0.4129,1.28105,1.06768,1.17947,0.0001585,0.0001585,0.0001585
70,8081.79,1.26321,1.20318,1.25043,0.73996,0.53576,0.62872,0.41164,1.2816,1.07008,1.18016,0.000146125,0.000146125,0.000146125
71,8221.28,1.19223,1.03453,1.19147,0.72389,0.54535,0.62508,0.40876,1.29339,1.07542,1.18423,0.00013375,0.00013375,0.00013375
72,8350.46,1.17198,0.99534,1.18124,0.71077,0.5462,0.6235,0.40995,1.2934,1.07604,1.18706,0.000121375,0.000121375,0.000121375
73,8471.87,1.16584,0.98713,1.17785,0.73335,0.53752,0.62292,0.40935,1.29318,1.0753,1.18851,0.000109,0.000109,0.000109
74,8581.07,1.16213,0.97024,1.1768,0.72873,0.53987,0.62159,0.40864,1.29395,1.07672,1.19003,9.6625e-05,9.6625e-05,9.6625e-05
75,8690.24,1.15832,0.96786,1.17336,0.71106,0.5491,0.62245,0.40909,1.29241,1.07839,1.18911,8.425e-05,8.425e-05,8.425e-05
76,8799.53,1.1569,0.96657,1.1683,0.71028,0.54191,0.62162,0.40813,1.29405,1.07605,1.19028,7.1875e-05,7.1875e-05,7.1875e-05
77,8908.97,1.15221,0.9518,1.16154,0.71423,0.53754,0.62266,0.40726,1.29305,1.07751,1.18788,5.95e-05,5.95e-05,5.95e-05
78,9018.32,1.14607,0.94837,1.16301,0.72136,0.53744,0.6237,0.4078,1.29326,1.07744,1.18884,4.7125e-05,4.7125e-05,4.7125e-05
79,9127.56,1.13848,0.9453,1.16229,0.72976,0.54081,0.62259,0.40816,1.29085,1.07704,1.18863,3.475e-05,3.475e-05,3.475e-05
80,9237.08,1.14905,0.94491,1.16604,0.70642,0.54855,0.62301,0.40877,1.28882,1.07905,1.18684,2.2375e-05,2.2375e-05,2.2375e-05
